标题,品牌,详情链接,城市,购买年份,里程,过户次数,原价,售价,文本,文本1,文本2,文本3,文本4,文本5,文本6,文本7,文本8,文本9,文本10,文本11,文本12,文本13,文本14,文本15,文本16,文本17
秦EV 2016款 秦EV300 尊贵型,比亚迪,https://www.dongchedi.com/usedcar/18423441,北京,2016年 , 7.21万公里,1,26.98万,2.85万,秦EV 2016款 秦EV300 尊贵型,北京,2016年11月,自动,26.98万,比亚迪,紧凑型车,纯电动,纯电动 218马力,300,快充1.2小时 慢充7小时,电动车单速变速箱,4740x1770x1490,150,522.0元,永磁/同步,磷酸铁锂电池,47.5
雷克萨斯UX EV 2020款 300e 纯·悦,雷克萨斯,https://www.dongchedi.com/usedcar/14705621,郑州,2022年 , 2.95万公里,0,36.20万,10.88万,雷克萨斯UX EV 2020款 300e 纯·悦,郑州,2022年2月,自动,36.2万,雷克萨斯,紧凑型SUV,纯电动,纯电动 204马力,400,快充0.83小时 慢充6.5小时,电动车单速变速箱,4495x1840x1545,160,6年或15万公里,永磁/同步,三元锂电池,54.35
宋DM 2019款 1.5TID 智联锐享型,比亚迪,https://www.dongchedi.com/usedcar/18382586,深圳,2018年 , 5.53万公里,0,19.69万,4.38万,宋DM 2019款 1.5TID 智联锐享型,深圳,2018年11月,自动,19.69万,比亚迪,紧凑型SUV,插电式混合动力,1.5T 154马力 L4 插电式混动,80,,6挡双离合,4600x1870x1700,,6年或15万公里,1497,插电式混动 299马力,220
红旗E-QM5 2022款 充电 431km乐享版 5座,红旗,https://www.dongchedi.com/usedcar/18223905,沈阳,2022年 , 1.80万公里,0,16.58万,6.98万,红旗E-QM5 2022款 充电 431km乐享版 5座,沈阳,2022年12月,自动,16.58万,一汽红旗,中型车,纯电动,纯电动 190马力,431,431,140(190Ps),320,5040x1910x1569,13.5,永磁/同步,磷酸铁锂电池,8年或15万公里
秦PLUS DM 2021款 DM-i 55KM 旗舰型,比亚迪,https://www.dongchedi.com/usedcar/18354586,深圳,2022年 , 1.03万公里,0,12.78万,5.56万,秦PLUS DM 2021款 DM-i 55KM 旗舰型,深圳,2022年8月,自动,12.78万,比亚迪,紧凑型车,插电式混合动力,1.5L 110马力 L4 插电式混动,55,55,132(180Ps),135,E-CVT无级变速,7.9,1498,插电式混动 180马力,132
红旗E-QM5 2022款 充电 431km乐享版 5座,红旗,https://www.dongchedi.com/usedcar/17629903,青岛,2022年 , 0.79万公里,0,16.58万,7.38万,红旗E-QM5 2022款 充电 431km乐享版 5座,青岛,2022年12月,自动,16.58万,一汽红旗,中型车,纯电动,纯电动 190马力,431,431,140(190Ps),320,5040x1910x1569,13.5,永磁/同步,磷酸铁锂电池,8年或15万公里
问界M5 2022款 增程四驱旗舰版,AITO,https://www.dongchedi.com/usedcar/16973390,郑州,2022年 , 1.70万公里,1,33.18万,14.76万,问界M5 2022款 增程四驱旗舰版,郑州,2022年8月,自动,33.18万,赛力斯汽车,中型SUV,增程式,增程式 496马力,180,快充0.75小时 慢充5小时,电动车单速变速箱,4770x1930x1625,210,2.68,1499,增程式 496马力,365
奔驰EQC 2021款 EQC 350 4MATIC,奔驰,https://www.dongchedi.com/usedcar/17866484,广州,2022年 , 4万公里,0,49.98万,14.18万,奔驰EQC 2021款 EQC 350 4MATIC,广州,2022年1月,自动,49.98万,北京奔驰,中型SUV,纯电动,纯电动 286马力,415,快充0.75小时 慢充12小时,电动车单速变速箱,4774x1890x1622,180,3335.0元,交流/异步,三元锂电池,8年或16万公里
红旗E-QM5 2022款 充电 431km乐享版 5座,红旗,https://www.dongchedi.com/usedcar/17846047,中山,2022年 , 1.36万公里,1,16.58万,7.51万,红旗E-QM5 2022款 充电 431km乐享版 5座,中山,2022年12月,自动,16.58万,一汽红旗,中型车,纯电动,纯电动 190马力,431,431,140(190Ps),320,5040x1910x1569,13.5,永磁/同步,磷酸铁锂电池,8年或15万公里
e:NP1 极湃1 2023款 510km 绽极版,本田,https://www.dongchedi.com/usedcar/18123356,武汉,2022年 , 1.80万公里,1,21.80万,9.08万,e:NP1 极湃1 2023款 510km 绽极版,武汉,2022年7月,自动,21.8万,广汽本田,小型SUV,纯电动,纯电动 204马力,510,快充0.67小时 慢充9.5小时,电动车单速变速箱,4388x1790x1560,150,3年或12万公里,永磁/同步,三元锂电池,8年或15万公里
奔驰EQB 2022款 EQB 350 4MATIC 首发特别版,奔驰,https://www.dongchedi.com/usedcar/18066548,广州,2021年 , 3.50万公里,0,43.78万,14.68万,,,,,21.8万,广汽本田,小型SUV,纯电动,纯电动 204马力,510,快充0.67小时 慢充9.5小时,电动车单速变速箱,4388x1790x1560,150,3年或12万公里,永磁/同步,三元锂电池,8年或15万公里
红旗E-QM5 2022款 充电 431km乐享版 5座,红旗,https://www.dongchedi.com/usedcar/18413521,宁波,2022年 , 1.61万公里,0,16.58万,7.76万,红旗E-QM5 2022款 充电 431km乐享版 5座,宁波,2022年12月,自动,16.58万,一汽红旗,中型车,纯电动,纯电动 190马力,431,431,140(190Ps),320,5040x1910x1569,13.5,永磁/同步,磷酸铁锂电池,8年或15万公里
红旗E-QM5 2022款 充电 431km乐享版 5座,红旗,https://www.dongchedi.com/usedcar/18412479,南宁,2022年 , 0.90万公里,0,16.58万,7.78万,红旗E-QM5 2022款 充电 431km乐享版 5座,南宁,2022年12月,自动,16.58万,一汽红旗,中型车,纯电动,纯电动 190马力,431,431,140(190Ps),320,5040x1910x1569,13.5,永磁/同步,磷酸铁锂电池,8年或15万公里
元Pro 2021款 要爱一生版,比亚迪,https://www.dongchedi.com/usedcar/18419970,深圳,2022年 , 2.90万公里,0,13.26万,5.28万,元Pro 2021款 要爱一生版,深圳,2022年1月,自动,13.26万,比亚迪,小型SUV,纯电动,纯电动 136马力,401,快充0.5小时,电动车单速变速箱,4375x1785x1680,,,永磁/交流/同步,磷酸铁锂电池,50.1
小鹏G3 2022款 G3i 460N,小鹏汽车,https://www.dongchedi.com/usedcar/18321106,杭州,2022年 , 1.52万公里,0,18.89万,8.28万,小鹏G3 2022款 G3i 460N,杭州,2022年9月,自动,18.89万,小鹏汽车,紧凑型SUV,纯电动,纯电动 197马力,460,快充0.58小时 慢充4.3小时,电动车单速变速箱,4495x1820x1610,170,4年或10万公里,永磁/同步,三元锂电池,8年或15万公里
问界M5 2022款 增程四驱性能版,AITO,https://www.dongchedi.com/usedcar/18373215,深圳,2022年 , 3.80万公里,0,29.48万,12.98万,,,,,18.89万,小鹏汽车,紧凑型SUV,纯电动,纯电动 197马力,460,快充0.58小时 慢充4.3小时,电动车单速变速箱,4495x1820x1610,170,4年或10万公里,永磁/同步,三元锂电池,8年或15万公里
宝骏KiWi EV 2023款 智潮版 三元锂,宝骏,https://www.dongchedi.com/usedcar/17820916,沈阳,2022年 , 3.15万公里,0,8.78万,3.88万,宝骏KiWi EV 2023款 智潮版 三元锂,沈阳,2022年9月,自动,8.78万,上汽通用五菱,微型车,纯电动,纯电动 54马力,305,305,150,电动车单速变速箱,3门4座两厢车,1.32,永磁/同步,三元锂电池,8年或12万公里
红旗E-QM5 2022款 充电 431km乐享版 5座,红旗,https://www.dongchedi.com/usedcar/18233758,石家庄,2022年 , 1.83万公里,0,16.58万,7.35万,红旗E-QM5 2022款 充电 431km乐享版 5座,石家庄,2022年12月,自动,16.58万,一汽红旗,中型车,纯电动,纯电动 190马力,431,431,140(190Ps),320,5040x1910x1569,13.5,永磁/同步,磷酸铁锂电池,8年或15万公里
领克03 PHEV 2019款 1.5T Pro,领克,https://www.dongchedi.com/usedcar/18475527,深圳,2020年 , 4.76万公里,0,19.87万,7.36万,领克03 PHEV 2019款 1.5T Pro,深圳,2020年8月,自动,19.87万,领克,紧凑型车,插电式混合动力,1.5T 180马力 L3 插电式混动,51,,265,160,4657x1840x1460,1.6,1477,插电式混动 82马力,60
宝马iX3 2022款 改款 创领型,宝马,https://www.dongchedi.com/usedcar/16459412,合肥,2023年 , 2.86万公里,0,43.99万,20.18万,宝马iX3 2022款 改款 创领型,合肥,2023年3月,自动,43.99万,华晨宝马,中型SUV,纯电动,纯电动 286马力,535,535,400,电动车单速变速箱,5门5座SUV,1.75,励磁/同步,三元锂电池,8年或16万公里
元EV 2019款 EV535 高能领航版,比亚迪,https://www.dongchedi.com/usedcar/18449171,广州,2019年 , 9.70万公里,0,13.99万,4.18万,元EV 2019款 EV535 高能领航版,广州,2019年5月,自动,13.99万,比亚迪,小型SUV,纯电动,纯电动 163马力,410,快充0.5小时 慢充9小时,电动车单速变速箱,4360x1785x1680,,442.0元,永磁/同步,三元锂电池,53.22
奔驰EQA 2022款 EQA 300 4MATIC 首发特别版,奔驰,https://www.dongchedi.com/usedcar/18066670,广州,2021年 , 3.20万公里,0,36.58万,13.98万,奔驰EQA 2022款 EQA 300 4MATIC 首发特别版,广州,2021年12月,自动,36.58万,北京奔驰,紧凑型SUV,纯电动,纯电动 229马力,537,快充0.75小时 慢充10.25小时,电动车单速变速箱,4463x1834x1624,160,3年不限公里,前感应/异步后永磁/同步,三元锂电池,8年或16万公里
