标题,品牌,详情链接,城市,购买年份,里程,过户次数,原价,售价
风光ix5 2022款 1.5T CVT都市豪情版,东风风光,https://www.dongchedi.com/usedcar/17736054,呼和浩特,2023年 , 3.70万公里,1,16.59万,5.38万
奔腾T77 2021款 PRO 280 TID 定制版,奔腾,https://www.dongchedi.com/usedcar/17328743,郑州,2022年 , 1.97万公里,0,14.18万,5.58万
科帕奇 2014款 2.4L 四驱旗舰版 7座,雪佛兰,https://www.dongchedi.com/usedcar/17810321,青岛,2014年 , 7.36万公里,0,20.99万,2.85万
捷豹XJ 2013款 XJL 3.0 SC 剑桥限量版,捷豹,https://www.dongchedi.com/usedcar/18418371,北京,2013年 , 9.58万公里,5,100.80万,9.85万
发现神行 2019款 240PS SE版 国V,路虎,https://www.dongchedi.com/usedcar/15913079,柳州,2019年 , 8.50万公里,0,39.48万,8.88万
昂科拉 2015款 1.4T 自动两驱都市精英型,别克,https://www.dongchedi.com/usedcar/16513203,东莞,2016年 , 4.75万公里,1,14.99万,2.78万
奔腾X80 2013款 2.0L 自动豪华型,奔腾,https://www.dongchedi.com/usedcar/18438343,长春,2014年 , 9.44万公里,1,14.58万,2.18万
凯迪拉克CT6 2017款 28T 精英型,凯迪拉克,https://www.dongchedi.com/usedcar/18145232,东莞,2018年 , 9.56万公里,0,46.99万,11.28万
奔驰GLA 2017款 GLA 220 4MATIC 时尚型,奔驰,https://www.dongchedi.com/usedcar/15925698,南通,2018年 , 9.17万公里,3,32.18万,7.78万
瑞虎7 2020款 FLY款 1.5T DCT 商务专供版,奇瑞,https://www.dongchedi.com/usedcar/17837977,烟台,2021年 , 2.71万公里,0,14.98万,4.98万
林肯MKC 2017款 2.0T 两驱尊享版,林肯,https://www.dongchedi.com/usedcar/11599117,郑州,2018年 , 6.08万公里,0,33.18万,8.38万
哈弗H8 2015款 2.0T 两驱豪华型,哈弗,https://www.dongchedi.com/usedcar/18075648,常州,2016年 , 11.10万公里,0,22.18万,3.88万
红旗HS7 2019款 3.0T 自动四驱智联旗畅版,红旗,https://www.dongchedi.com/usedcar/17350422,南宁,2020年 , 5.53万公里,1,41.58万,12.38万
英朗 2019款 15T 双离合互联精英型 国VI,别克,https://www.dongchedi.com/usedcar/18348904,兰州,2019年 , 4.49万公里,0,12.89万,3.88万
昂科拉 2015款 1.4T 自动两驱都市领先型,别克,https://www.dongchedi.com/usedcar/18259473,惠州,2015年 , 3.50万公里,0,16.89万,2.98万
奔驰GLA 2017款 GLA 200 时尚型,奔驰,https://www.dongchedi.com/usedcar/18196740,深圳,2018年 , 8.78万公里,0,29.08万,7.56万
威朗 2017款 三厢 20T 双离合领先型,别克,https://www.dongchedi.com/usedcar/16870011,常州,2016年 , 10万公里,0,16.29万,2.88万
英朗 2014款 XT 1.6L 自动时尚版,别克,https://www.dongchedi.com/usedcar/17056326,呼和浩特,2015年 , 8.21万公里,2,14.99万,2.68万
发现神行 2018款 240PS SE版,路虎,https://www.dongchedi.com/usedcar/13159894,襄阳,2018年 , 7.64万公里,1,40.48万,10.58万
红旗H7 2019款 1.8T 舒适版,红旗,https://www.dongchedi.com/usedcar/18439500,太原,2019年 , 5.42万公里,2,25.28万,6.68万
发现神行 2016款 2.0T SE,路虎,https://www.dongchedi.com/usedcar/17437011,东莞,2016年 , 8万公里,1,40.80万,7.50万
翼虎 2018款 改款 EcoBoost 180 两驱豪翼型,福特,https://www.dongchedi.com/usedcar/16895438,东莞,2018年 , 4.67万公里,0,19.28万,5.98万
MG ZS 2017款 1.5L 自动豪华版,名爵,https://www.dongchedi.com/usedcar/18459241,上海,2017年 , 3.10万公里,0,9.98万,2.30万
天逸 C5 AIRCROSS 2020款 360THP 进享型,雪铁龙,https://www.dongchedi.com/usedcar/16702582,襄阳,2020年 , 6.74万公里,0,16.97万,6.02万
宝马5系 2014款 520Li 典雅型,宝马,https://www.dongchedi.com/usedcar/18394881,佛山,2014年 , 9万公里,0,43.56万,8.28万
奥迪Q7 2011款 3.0 TFSI 技术型(200kW),奥迪,https://www.dongchedi.com/usedcar/17139164,佛山,2011年 , 11.50万公里,2,87.50万,5.98万
宝马1系 2020款 120i M运动套装,宝马,https://www.dongchedi.com/usedcar/14472488,常州,2020年 , 6万公里,1,22.38万,7.98万
Stelvio斯坦维 2017款 2.0T 200HP 豪华版,阿尔法·罗密欧,https://www.dongchedi.com/usedcar/18358287,武汉,2019年 , 8.40万公里,1,42.68万,9.98万
沃尔沃V40 2014款 Cross Country T5 AWD 智雅版,沃尔沃,https://www.dongchedi.com/usedcar/18230616,海口,2014年 , 8.87万公里,1,32.49万,4.98万
宝马X6 2015款 xDrive28i,宝马,https://www.dongchedi.com/usedcar/18221503,东莞,2016年 , 11.74万公里,0,83.80万,16.28万
指南者 2020款 220T 精英版,Jeep,https://www.dongchedi.com/usedcar/14693010,呼和浩特,2020年 , 4.10万公里,1,17.28万,6.18万
奔驰B级 2012款 B 180,奔驰,https://www.dongchedi.com/usedcar/18435547,南京,2013年 , 8.30万公里,1,27.80万,4.35万
指南者 2017款 200T 自动家享版,Jeep,https://www.dongchedi.com/usedcar/17315691,石家庄,2018年 , 11.01万公里,0,17.98万,5.02万
宝马X5(进口) 2014款 xDrive35i 尊享型,宝马,https://www.dongchedi.com/usedcar/18474083,苏州,2015年 , 13.20万公里,0,107.80万,16.90万
睿骋 2014款 1.8T 自动尊贵周年版 国V,长安,https://www.dongchedi.com/usedcar/18422985,东莞,2015年 , 9.51万公里,0,15.08万,2.38万
比亚迪S7 2015款 2.0T 升级版 自动旗舰型,比亚迪,https://www.dongchedi.com/usedcar/18409969,宝鸡,2015年 , 6.48万公里,1,13.99万,2.78万
英朗 2019款 18T 自动互联精英型 国VI,别克,https://www.dongchedi.com/usedcar/18409848,南通,2020年 , 6.14万公里,0,13.59万,4.96万
标致508 2013款 2.0L 两周年纪念 自动天窗经典版,标致,https://www.dongchedi.com/usedcar/18342647,北京,2013年 , 9.70万公里,1,18.17万,2.88万
星途追风 2022款 乘风破浪版 1.5T CVT好事花生版,星途,https://www.dongchedi.com/usedcar/17074763,东莞,2022年 , 2.35万公里,0,13.19万,5.88万
宝马X1 2015款 sDrive18i 时尚晋级版,宝马,https://www.dongchedi.com/usedcar/17065323,长春,2015年 , 8.47万公里,1,28.50万,5.68万
迈锐宝XL 2021款 Redline 550T 自动锐动版,雪佛兰,https://www.dongchedi.com/usedcar/15791336,南京,2021年 , 3.71万公里,3,19.49万,7.88万
发现神行 2019款 240PS PURE版 国VI,路虎,https://www.dongchedi.com/usedcar/18274425,深圳,2019年 , 9.80万公里,0,36.58万,10.45万
